index,marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
4734,AUDI,S5,83890,F5,Coupé,2019,15/05/2020,ESSENCE,50374,AUTOMATIQUE,78000,34,354,<150000km
4735,AUDI,A3,32220,8V [restyling],Hatchback,2020,19/05/2020,ESSENCE,15634,AUTOMATIQUE,62000,8,150,<50000km
4736,AUDI,A5,39960,2 génération,Berline,2019,29/03/2020,DIESEL,97883,AUTOMATIQUE,49000,8,190,<150000km
4737,AUDI,A1,21400,8X [restyling],Hatchback,2018,16/05/2020,ESSENCE,65640,MANUEL,35000,6,125,<150000km
4738,AUDI,Q5,56570,2 génération,4x4_SUV,2020,13/04/2020,DIESEL,8568,AUTOMATIQUE,17000,11,190,<50000km
4739,AUDI,A3,25180,8V [restyling],Hatchback,2017,24/05/2020,DIESEL,67342,MANUEL,17000,7,150,<150000km
4743,AUDI,A1,28120,2 génération,Hatchback,2020,29/03/2020,ESSENCE,8843,AUTOMATIQUE,44000,6,116,<50000km
4744,AUDI,Q2,32170,1 génération,4x4_SUV,2020,20/04/2020,DIESEL,25015,AUTOMATIQUE,86000,6,116,<50000km
4745,AUDI,A4,17170,B8slashcharacter0018K [restyling],Berline,2013,19/05/2020,DIESEL,106083,AUTOMATIQUE,77000,8,143,<150000km
4746,AUDI,A1,19850,8X [restyling],Hatchback,2019,21/05/2020,DIESEL,50940,MANUEL,51000,6,116,<150000km
4747,AUDI,Q2,32360,1 génération,4x4_SUV,2019,29/03/2020,ESSENCE,37611,MANUEL,2000,8,150,<50000km
4748,AUDI,Q7,57180,4L [restyling],4x4_SUV,2018,22/05/2020,DIESEL,19606,AUTOMATIQUE,44000,13,204,<50000km
4749,AUDI,Q5,59490,2 génération,4x4_SUV,2020,29/03/2020,DIESEL,11254,AUTOMATIQUE,68000,11,190,<50000km
4750,AUDI,A3,28550,8V,Hatchback,2016,27/05/2020,ESSENCE,22105,AUTOMATIQUE,13000,10,180,<50000km
4751,AUDI,A3,41180,8V [restyling],Hatchback,2020,13/04/2020,ESSENCE,9440,AUTOMATIQUE,12000,7,150,<50000km
4752,AUDI,Q7,66120,4M,4x4_SUV,2018,13/05/2020,DIESEL,46109,AUTOMATIQUE,74000,17,252,<50000km
4753,AUDI,A1,23370,2 génération,Hatchback,2020,29/03/2020,ESSENCE,11349,MANUEL,33000,6,116,<50000km
4754,AUDI,Q7,86280,4M,4x4_SUV,2019,14/05/2020,DIESEL,14551,AUTOMATIQUE,91000,17,252,<50000km
