marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat
FERRARI,328 REPLIQUE,,27900,24/02/2020,ESSENCE,7500,1986,-,67069,<50000km
NISSAN,GT R,V6 3.8PREMIUM EDITION4X4,64990,19/01/2020,ESSENCE,56980,2014,AUTOMATIQUE,33127,<150000km
NISSAN,GT R,V6 3.8NISMO4X4,64990,20/01/2020,ESSENCE,56990,2014,AUTOMATIQUE,33127,<150000km
LOTUS,3 ELEVEN,V6 3.5,99000,28/01/2020,ESSENCE,8100,2017,MANUELLE,33127,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,189900,14/02/2020,ESSENCE,69850,2014,AUTOMATIQUE,68519,<150000km
FERRARI,812 SUPERFAST,,349900,23/02/2020,ESSENCE,6480,2018,AUTOMATIQUE,68519,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,279900,02/03/2020,ESSENCE,14789,2016,AUTOMATIQUE,68519,<50000km
FERRARI,812 SUPERFAST,,289900,14/03/2020,ESSENCE,3424,2018,AUTOMATIQUE,68519,<5000km
MC LAREN,MP4 12C,V8 3.8,97900,27/03/2020,ESSENCE,35793,2012,AUTOMATIQUE,68519,<50000km
FERRARI,F12,NOVITEC,199900,10/04/2020,ESSENCE,6552,2014,AUTOMATIQUE,68519,<50000km
ASTON MARTIN,VANQUISH,V12 5.9,109990,20/05/2018,ESSENCE,29992,2005,MANUELLE,91250,<50000km
LAMBORGHINI,DIABLO,V12 6.0,184900,22/11/2019,ESSENCE,24980,1992,MANUELLE,80100,<50000km
LAMBORGHINI,COUNTACH,,460000,11/12/2019,ESSENCE,26000,1988,MANUELLE,80100,<50000km
FERRARI,F12,,184990,15/02/2020,ESSENCE,25000,2015,AUTOMATIQUE,77170,<50000km
MC LAREN,720S,V8 4.0,217990,03/04/2020,ESSENCE,4100,2018,AUTOMATIQUE,77170,<5000km
MC LAREN,570S,V8 3.8,137000,08/02/2020,ESSENCE,37000,2016,AUTOMATIQUE,86039,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION4X4,85000,18/03/2020,ESSENCE,19890,2018,AUTOMATIQUE,91090,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION4X4,85000,18/03/2020,ESSENCE,19890,2017,AUTOMATIQUE,91090,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,217000,19/09/2019,ESSENCE,17473,2018,AUTOMATIQUE,41100,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,41000,13/03/2020,ESSENCE,120000,2009,AUTOMATIQUE,68623,<150000km
NISSAN,GT R,BLACK EDITION,40999,23/03/2020,ESSENCE,120000,2009,AUTOMATIQUE,68623,<150000km
FERRARI,488,GTB,199990,18/10/2019,ESSENCE,43000,2017,AUTOMATIQUE,37390,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,65000,23/10/2019,ESSENCE,99000,2013,AUTOMATIQUE,50171,<150000km
NISSAN,GT R,V6 3.8BLACK EDITION4X4,89990,08/02/2020,ESSENCE,3400,2017,AUTOMATIQUE,77400,<5000km
MC LAREN,650S,V8 3.8,162500,21/12/2018,ESSENCE,9000,2016,AUTOMATIQUE,94100,<50000km
BUGATTI,VEYRON,,1700000,28/07/2018,ESSENCE,3500,2011,AUTOMATIQUE,54292,<5000km
NISSAN,GT R,V6 3.8BLACK EDITION,58800,30/01/2020,ESSENCE,38987,2011,AUTOMATIQUE,94320,<50000km
NISSAN,GT R,V6 3.8,58800,31/01/2020,ESSENCE,38987,2011,AUTOMATIQUE,94320,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,66200,12/02/2020,ESSENCE,42500,2015,AUTOMATIQUE,64665,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,67000,13/04/2020,ESSENCE,42000,2015,AUTOMATIQUE,64665,<50000km
NISSAN,GT R,BLACK EDITION,67000,13/04/2020,ESSENCE,42000,2015,AUTOMATIQUE,64665,<50000km
FERRARI,F12,,209900,19/07/2019,ESSENCE,8500,2014,AUTOMATIQUE,4870,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,48999,09/04/2020,ESSENCE,42000,2011,AUTOMATIQUE,93342,<50000km
FERRARI,F12,,259900,06/04/2020,ESSENCE,8500,2014,AUTOMATIQUE,4871,<50000km
FERRARI,488,GTB,215000,01/05/2019,ESSENCE,14432,2017,AUTOMATIQUE,84018,<50000km
