marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat,percentage
PANTHER,KALLISTA,,14900,24/01/2020,ESSENCE,133000,1986,AUTOMATIQUE,83630,<150000km,1.1110249148359417
ABARTH,AUTOBIANCHI A112,,21000,28/02/2020,ESSENCE,153000,1972,-,12080,<250000km,0.8642904891719105
FORD,COUNTRY SQUIRE,HARLEY DAVIDSON,14500,09/04/2020,ESSENCE,98000,1986,AUTOMATIQUE,12080,<150000km,0.8642904891719105
FERRARI,330,,180000,06/05/2018,ESSENCE,37111,1964,MANUELLE,12084,<50000km,1.1110249148359417
FERRARI,250,GT,1800000,18/12/2018,ESSENCE,10,1961,MANUELLE,12084,<5000km,1.1813403598102055
OLDSMOBILE,CUTLASS,,19000,09/06/2019,-,2000,1963,-,12084,<5000km,1.0317998911657071
OPEL,OLYMPIA,,9000,23/03/2020,ESSENCE,1000,1936,MANUELLE,17054,<5000km,1.0317998911657071
ALFA ROMEO,GIULIA GT,VELOCE2.0,60000,07/03/2020,ESSENCE,25000,1974,-,17025,<50000km,1.5998598388044862
RENAULT,4CV,,4500,09/02/2020,ESSENCE,30000,1960,MANUELLE,4000,<50000km,1.0317998911657071
FIAT,124,,4000,04/02/2019,ESSENCE,140000,1972,MANUELLE,12045,<150000km,1.0317998911657071
FIAT,850,LOUNGE,9850,06/12/2019,ESSENCE,16000,2018,MANUELLE,12045,<50000km,1.0317998911657071
PEUGEOT,404,,2500,06/02/2020,DIESEL,148000,1974,MANUELLE,83230,<150000km,1.0617741104343115
FIAT,127,0.9,4300,06/12/2019,ESSENCE,107000,1980,MANUELLE,12024,<150000km,1.0317998911657071
INNOCENTI,MINI,,12000,20/11/2019,ESSENCE,150000,1973,-,17022,<250000km,1.5998598388044862
PEUGEOT,204,GL,5950,27/02/2020,-,-,1971,-,83670,NC,1.0027013346125184
INNOCENTI,MINI,1.0,6500,06/02/2020,ESSENCE,50000,1974,AUTOMATIQUE,17024,<150000km,1.1813403598102055
RENAULT,R8,GORDINI,30000,05/03/2020,ESSENCE,10,1969,MANUELLE,17024,<5000km,1.1431181809932949
MORGAN,4/4,,38999,14/01/2020,-,43200,1981,-,4210,<50000km,1.1431181809932949
ALFA ROMEO,ALFETTA GT,GTV2.0,10000,22/03/2019,ESSENCE,51000,1982,MANUELLE,12038,<150000km,1.0969424460431654
PORSCHE,911 CLASSIC 912,,76912,22/02/2020,ESSENCE,95000,1968,-,83250,<150000km,0.8308812270050367
VOLVO,P1800,1800S1.8,33000,04/03/2020,ESSENCE,70000,1965,MANUELLE,83250,<150000km,1.1110249148359417
CHEVROLET,BEL AIR,,16000,27/10/2019,-,129000,1974,-,83170,<150000km,1.0969424460431654
CORVETTE,C3,V8 5.7,26000,03/01/2020,ESSENCE,84400,1979,-,83170,<150000km,0.9949307297962883
PLYMOUTH,ROAD RUNNER,,26000,04/01/2020,-,94400,1971,-,83170,<150000km,-1.0
PLYMOUTH,ROAD RUNNER,,28000,17/01/2020,ESSENCE,69998,1971,-,83170,<150000km,1.0317998911657071
DODGE,CUSTOM ROYAL,,29500,27/01/2020,ESSENCE,50000,1960,AUTOMATIQUE,83170,<150000km,1.5998598388044862
CHEVROLET,BEL AIR,,16000,12/02/2020,ESSENCE,29900,1974,AUTOMATIQUE,83170,<50000km,1.5998598388044862
ALFA ROMEO,GIULIA GT,2.0COUPE,36000,19/02/2020,-,110000,1975,-,83170,<150000km,1.0317998911657071
SIMCA,6,,7500,26/03/2020,-,36000,1950,-,83170,<50000km,1.0317998911657071
JAGUAR,TYPE E,4.2,70000,29/10/2019,ESSENCE,1000,1971,MANUELLE,12060,<5000km,1.0317998911657071
FIAT,508 BALILLA,,29000,13/02/2020,-,70000,1934,-,12060,<150000km,1.0317998911657071
CITROEN,ROSALIE,COLLECTION,15000,30/01/2020,-,-,1935,-,83119,NC,1.5998598388044862
VOLKSWAGEN,181,,22500,16/03/2019,ESSENCE,17000,1978,MANUELLE,4190,<50000km,1.5998598388044862
RENAULT,R5 ALPINE,,23000,15/03/2020,ESSENCE,214000,1982,MANUELLE,4190,<250000km,1.5998598388044862
CORVETTE,C3,,26990,07/04/2020,ESSENCE,81656,1978,-,12030,<150000km,1.5998598388044862
CHEVROLET,EL CAMINO,V8 5.7,14500,11/11/2019,ESSENCE,73000,1983,AUTOMATIQUE,83400,<150000km,-1.0
CHRYSLER,IMPERIAL,PREMIUM,55200,12/12/2019,ESSENCE,88779,1962,AUTOMATIQUE,83400,<150000km,1.5773088026886284
CHEVROLET,EL CAMINO,V8 5.7,15000,24/02/2020,ESSENCE,76000,1983,AUTOMATIQUE,83400,<150000km,0.9849010340500327
CITROEN,DYANE,,2000,26/02/2020,ESSENCE,129000,1980,MANUELLE,83400,<150000km,1.0317998911657071
CITROEN,ID19,,12500,14/02/2020,ESSENCE,1000,1962,MANUELLE,83560,<5000km,1.0317998911657071
CHEVROLET,MASTER DELUXE,,29000,30/03/2020,-,19000,1936,-,12066,<50000km,-1.0
HUDSON,CUSTOM BROUGHAM,,27500,06/11/2018,ESSENCE,-,1947,MANUELLE,17100,NC,-1.0
OLDSMOBILE,CUTLASS,,12000,06/11/2018,ESSENCE,-,1969,MANUELLE,17100,NC,1.5998598388044862
JAGUAR,TYPE E,,35500,06/11/2018,ESSENCE,-,1970,MANUELLE,17100,NC,1.0898358306272797
CITROEN,DYANE,,7900,04/02/2019,ESSENCE,32000,1979,MANUELLE,17100,<50000km,1.5998598388044862
INNOCENTI,MINI,,7000,19/02/2020,ESSENCE,20000,1973,-,17100,<50000km,1.5773088026886284
OLDSMOBILE,88,,37500,19/03/2020,ESSENCE,80000,1959,-,17100,<150000km,1.1813403598102055
RENAULT,4CV,,8000,27/01/2020,ESSENCE,10,1960,MANUELLE,83210,<5000km,1.0317998911657071
CITROEN,LN,COLLECTION,2500,14/02/2020,ESSENCE,152000,1976,MANUELLE,83210,<250000km,1.0383023697920182
FIAT,127,0.9,3900,10/01/2020,ESSENCE,84000,1977,MANUELLE,12032,<150000km,1.0317998911657071
CITROEN,ACADIANE,,3700,31/01/2020,ESSENCE,50000,1981,-,12040,<150000km,1.0317998911657071
FIAT,128,,26000,30/03/2020,-,300,1972,-,12040,<5000km,1.0317998911657071
RENAULT,RODEO,,8000,27/08/2019,ESSENCE,120000,1985,MANUELLE,4250,<150000km,1.5773088026886284
RENAULT,RODEO,,6500,08/09/2019,ESSENCE,120000,1985,MANUELLE,4250,<150000km,0.9949307297962883
AC,COBRA,,47000,15/10/2019,ESSENCE,10000,1979,MANUELLE,83470,<50000km,1.1229124297622057
FORD,HOT ROD,HARLEY DAVIDSON,40000,27/01/2020,ESSENCE,3000,1960,AUTOMATIQUE,83470,<5000km,0.9849010340500327
FIAT,850 COUPE,,9900,07/03/2020,ESSENCE,7200,1970,MANUELLE,83470,<50000km,1.1229124297622057
PEUGEOT,204,,3100,10/03/2020,ESSENCE,99000,1968,MANUELLE,83470,<150000km,0.9359892770882359
RENAULT,4CV,,6200,13/04/2020,ESSENCE,90594,1960,MANUELLE,83470,<150000km,0.9348414732437988
ABARTH,FIAT 124 SPIDER,1.4TURISMO,25990,20/10/2019,ESSENCE,15000,2017,AUTOMATIQUE,12031,<50000km,0.9348414732437988
ABARTH,FIAT 124 SPIDER,1.4TURISMO,26800,24/12/2019,ESSENCE,15000,2017,AUTOMATIQUE,12031,<50000km,0.9359892770882359
LANCIA,APRILIA,,30000,26/02/2020,ESSENCE,30000,1947,MANUELLE,12031,<50000km,-1.0
ABARTH,FIAT 124 SPIDER,1.4,25990,08/04/2020,ESSENCE,15000,2017,AUTOMATIQUE,12031,<50000km,0.9348414732437988
RENAULT,FREGATE,,15000,03/09/2019,ESSENCE,98000,1956,MANUELLE,5190,<150000km,0.9348414732437988
ALPINE,A110,1.3,100000,01/02/2020,ESSENCE,999,1968,MANUELLE,4100,<5000km,-1.0
ALPINE,A110,1300 V85,79900,13/02/2020,ESSENCE,44000,1976,MANUELLE,4100,<50000km,-1.0
FORD,CUSTOM,SPORT,22500,17/02/2020,DIESEL,35000,2017,MANUELLE,4100,<50000km,0.9949307297962883
ALPINE,A110,1.8LEGENDE,69990,09/09/2019,ESSENCE,500,2019,AUTOMATIQUE,83130,<5000km,0.9849010340500327
ALFA ROMEO,GIULIA GT,SPRINT,48000,05/03/2020,ESSENCE,100000,1966,MANUELLE,83130,<150000km,1.1229124297622057
TOYOTA,DYNA,2.0,15000,13/03/2020,DIESEL,56000,2011,MANUELLE,83130,<150000km,1.5998598388044862
CHEVROLET,C20,,15450,27/03/2020,ESSENCE,90000,1979,AUTOMATIQUE,83130,<150000km,1.5998598388044862
MORRIS,MINOR,,9900,27/03/2020,ESSENCE,88000,1963,MANUELLE,83130,<150000km,0.9949307297962883
ALFA ROMEO,GIULIETTA SPIDER,1.3SPIDER,63000,29/06/2019,ESSENCE,-,1961,MANUELLE,10061,NC,0.9359892770882359
LIGIER,JS2,,10990,03/11/2019,DIESEL,10,2019,AUTOMATIQUE,10061,<5000km,0.9949307297962883
ABARTH,FIAT 124 SPIDER,1.4TURISMO,32000,03/06/2019,ESSENCE,5300,2018,MANUELLE,12042,<50000km,0.9359892770882359
FIAT,600,0.6JOLLY BEACH,27000,20/01/2020,ESSENCE,-,1963,MANUELLE,12042,NC,0.9849010340500327
PORSCHE,550,,89000,01/12/2018,ESSENCE,100,1986,MANUELLE,83870,<5000km,1.1431181809932949
MASERATI,MERAK,V6 3.0,58000,12/06/2019,ESSENCE,16558,1973,MANUELLE,83870,<50000km,1.1431181809932949
AC,COBRA REPLICA,PILGRIM,57900,09/07/2019,ESSENCE,6000,2008,MANUELLE,83870,<50000km,1.5773088026886284
CORVETTE,C3,V8 5.7,26200,18/07/2019,ESSENCE,30221,1981,AUTOMATIQUE,83870,<50000km,0.8642904891719105
ALFA ROMEO,ALFETTA GT,GTV6,19000,01/11/2019,-,65000,1983,-,83870,<150000km,1.1813403598102055
JAGUAR,TYPE E,,140000,11/12/2019,-,85000,1964,-,83870,<150000km,1.1813403598102055
CORVETTE,C3,V8 5.7,25900,18/02/2020,ESSENCE,30221,1981,-,83870,<50000km,0.9849010340500327
JAGUAR,MARK 2,3.4,36000,25/02/2020,ESSENCE,10,1963,MANUELLE,83160,<5000km,1.0317998911657071
MERCEDES,SL,300 SL,6700,03/03/2020,ESSENCE,190000,1992,AUTOMATIQUE,83160,<250000km,1.1110249148359417
FIAT,850,0.85,5500,29/11/2019,ESSENCE,72000,1969,MANUELLE,17012,<150000km,1.0898358306272797
TRIUMPH,HERALD,,11600,07/04/2020,ESSENCE,125000,1970,MANUELLE,4200,<150000km,1.0898358306272797
CITROEN,DYANE,,6000,23/09/2019,ESSENCE,22000,1979,MANUELLE,4860,<50000km,1.2303997484833311
FIAT,127,,2500,09/01/2020,ESSENCE,75000,1981,MANUELLE,17011,<150000km,-1.0
RENAULT,NN,,7500,17/02/2020,ESSENCE,10,1960,MANUELLE,83200,<5000km,-1.0
CHEVROLET,MASTER,,18500,01/03/2020,-,86000,1934,-,83200,<150000km,1.0317998911657071
FIAT,128,,9800,26/08/2018,-,68000,1975,-,83000,<150000km,1.2303997484833311
WESTFIELD,SE,,17800,11/10/2018,-,12000,1988,-,83000,<50000km,-1.0
FERRARI,365 GTB/4 DAYTONA,V12 4.4,660000,06/11/2018,ESSENCE,-,1971,MANUELLE,83000,NC,1.0027013346125184
SALMSON,G 72,,39500,22/03/2019,ESSENCE,1000,1952,MANUELLE,83000,<5000km,0.8308812270050367
MASERATI,MERAK,,55000,13/05/2019,ESSENCE,15600,1973,MANUELLE,83000,<50000km,0.9849010340500327
CORVETTE,C2,,119000,30/05/2019,ESSENCE,58906,1964,MANUELLE,83000,<150000km,1.0383023697920182
MERCEDES,SL,190 SL,85000,12/07/2019,ESSENCE,102000,1960,-,83000,<150000km,0.8109146810146042
PANHARD,DYNA JUNIOR,,30000,06/09/2019,-,87800,1954,-,83000,<150000km,1.0383023697920182
AMILCAR,TYPE M,,29500,23/10/2019,-,10,1930,-,83000,<5000km,1.5998598388044862
ALPINE,GTA,TURBO,25000,05/11/2019,ESSENCE,76500,1987,MANUELLE,83000,<150000km,1.0898358306272797
JAGUAR,TYPE E,3.8,145000,26/11/2019,ESSENCE,89500,1964,MANUELLE,83000,<150000km,1.5998598388044862
ALFA ROMEO,ALFETTA GT,GTV,19000,26/11/2019,ESSENCE,65000,1983,MANUELLE,83000,<150000km,1.5998598388044862
AC,COBRA,,100000,27/11/2019,-,2500,1966,-,83100,<5000km,1.5998598388044862
AC,COBRA,,100000,27/11/2019,-,-,1967,-,83100,NC,1.501102391390483
ALFA ROMEO,GIULIA GT,COUPE,35000,11/01/2020,ESSENCE,34233,1976,MANUELLE,83000,<50000km,1.5998598388044862
JAGUAR,TYPE E,3.8,145000,14/01/2020,-,82000,-,-,83000,<150000km,0.8308812270050367
AC,COBRA,,85000,18/01/2020,-,-,1963,-,83100,NC,0.8308812270050367
FORD,CUSTOM,,13900,12/02/2020,DIESEL,25000,2014,MANUELLE,83000,<50000km,0.8406826903901095
PORSCHE,911 CLASSIC,2.0,130000,25/02/2020,ESSENCE,45000,1966,MANUELLE,83100,<50000km,1.0317998911657071
PORSCHE,911 CLASSIC 912,,55000,25/02/2020,ESSENCE,15000,1965,MANUELLE,83100,<50000km,0.9348414732437988
RENAULT,DAUPHINE,,30000,01/03/2020,ESSENCE,10,1963,MANUELLE,83000,<5000km,1.0027013346125184
CITROEN,DYANE,,3000,01/03/2020,ESSENCE,70000,1974,MANUELLE,83000,<150000km,1.0027013346125184
MASERATI,MERAK,SS,65000,07/03/2020,-,80000,1975,-,83000,<150000km,1.044769782541518
AUSTIN HEALEY,3000,2.9,58000,07/03/2020,-,70000,1960,-,83000,<150000km,1.0027013346125184
FORD,CORTINA,GT,23000,07/03/2020,-,60000,1966,-,83000,<150000km,1.0898358306272797
RENAULT,RODEO,EXCEPTION,7900,09/03/2020,-,115600,1984,-,83100,<150000km,1.0383023697920182
RENAULT,KZ11,,6000,10/03/2020,-,111111,1933,-,83000,<150000km,-1.0
CITROEN,ID19,,12500,10/03/2020,-,-,1962,-,83000,NC,1.0383023697920182
ALPINE,A110,1600 S1.6,110000,10/03/2020,-,-,1972,-,83000,NC,0.8914153082154809
RENAULT,DAUPHINE,ONDINE,10000,10/03/2020,-,-,1962,-,83000,NC,-1.0
CHEVROLET,C10,,29900,04/04/2020,ESSENCE,123000,1965,MANUELLE,83000,<150000km,0.9244253322908522
FORD,CUSTOM,,18000,11/04/2020,DIESEL,115000,2016,MANUELLE,12051,<150000km,1.0317998911657071
FIAT,850 COUPE,SPORT,8500,22/02/2020,ESSENCE,70000,1970,-,14054,<150000km,1.0317998911657071
CITROEN,TRACTION,15 6,33000,02/09/2019,-,17933,1951,-,83500,<50000km,0.9849010340500327
PORSCHE,911 CLASSIC TARGA,,85900,22/09/2019,ESSENCE,2500,1970,MANUELLE,83500,<5000km,1.0317998911657071
OLDSMOBILE,CUTLASS,V8 5.7,45000,27/01/2020,-,48700,1969,-,83500,<50000km,1.0317998911657071
SIMCA,ARONDE,P60,4900,04/02/2020,ESSENCE,88600,1960,MANUELLE,83500,<150000km,0.9359892770882359
PONTIAC,FIERO,,9400,20/03/2020,ESSENCE,72420,1987,AUTOMATIQUE,83500,<150000km,1.5998598388044862
CADILLAC,SERIE 62 CONVERTIBLE,,65000,18/12/2018,ESSENCE,10,1947,AUTOMATIQUE,83190,<5000km,1.0027013346125184
ALFA ROMEO,ALFETTA GT,GTV,20000,22/06/2019,-,15000,1987,-,83190,<50000km,1.0027013346125184
CADILLAC,SERIE 62 CONVERTIBLE,,65000,22/02/2020,ESSENCE,10,1960,AUTOMATIQUE,83190,<5000km,1.0317998911657071
SIMCA,1000 RALLYE,,32000,25/02/2020,ESSENCE,42779,1978,MANUELLE,5110,<50000km,1.0027013346125184
ABARTH,FIAT 124 SPIDER,1.4,32000,19/10/2019,ESSENCE,8500,2016,MANUELLE,10064,<50000km,1.0317998911657071
ABARTH,FIAT 124 SPIDER,1.4,36000,19/10/2019,ESSENCE,10,2017,MANUELLE,10064,<5000km,1.0317998911657071
ALFA ROMEO,ALFETTA GT,GTV2.0,11000,08/11/2019,ESSENCE,118000,1984,MANUELLE,10064,<150000km,1.0317998911657071
ABARTH,FIAT 124 SPIDER,1.4,29000,06/03/2020,ESSENCE,6131,2018,MANUELLE,10064,<50000km,0.8642904891719105
RENAULT,R8,GORDINI,45000,14/02/2020,ESSENCE,50200,1970,MANUELLE,83330,<150000km,1.0317998911657071
FORD,CUSTOM,2.2TREND BUSINESS,15990,31/01/2020,DIESEL,69870,2014,MANUELLE,5000,<150000km,1.0027013346125184
FORD,CUSTOM,,13490,14/02/2020,DIESEL,96762,2013,MANUELLE,5000,<150000km,1.0898358306272797
FORD,CUSTOM,2.2TREND,12990,15/02/2020,DIESEL,132693,2014,MANUELLE,5000,<150000km,0.9244253322908522
FORD,CUSTOM,TREND,15990,23/03/2020,DIESEL,75561,2015,MANUELLE,5000,<150000km,1.0317998911657071
ABARTH,FIAT OT 850,,23000,29/08/2019,ESSENCE,10,1967,MANUELLE,83740,<5000km,1.0027013346125184
FORD,CUSTOM,TREND,12000,25/02/2020,DIESEL,88500,2014,-,83740,<150000km,1.1110249148359417
CITROEN,ID20,,12000,02/09/2019,-,-,1969,-,84120,NC,1.0027013346125184
CORVETTE,C3,,21500,16/02/2020,ESSENCE,110000,1982,AUTOMATIQUE,84120,<150000km,1.0027013346125184
RENAULT,4CV,,15000,27/03/2020,ESSENCE,18000,1961,MANUELLE,84120,<50000km,1.1813403598102055
FIAT,508 BALILLA,,15000,06/11/2018,ESSENCE,-,1934,MANUELLE,10060,NC,1.5998598388044862
CADILLAC,ELDORADO CABRIOLET,,21990,18/10/2019,ESSENCE,102000,1971,AUTOMATIQUE,10060,<150000km,0.8914153082154809
FIAT,CAMPAGNOLA,,10500,15/11/2019,DIESEL,77722,1973,MANUELLE,10060,<150000km,1.0027013346125184
BUICK,SUPER,,53000,18/01/2020,ESSENCE,108000,1948,MANUELLE,10060,<150000km,1.1813403598102055
LANCIA,ARDEA,ORO,22000,31/01/2020,-,100,1949,-,10060,<5000km,1.0027013346125184
BUICK,SUPER CONVERTIBLE,,53000,06/04/2020,ESSENCE,108000,1940,MANUELLE,10060,<150000km,1.0383023697920182
ALFA ROMEO,MONTREAL,,68000,10/04/2020,ESSENCE,56000,1970,MANUELLE,10060,<150000km,-1.0
PANTHER,LIMA,,22500,19/02/2019,-,-,1980,-,83140,NC,1.1813403598102055
PANTHER,LIMA,,22500,21/10/2019,ESSENCE,500000,1980,AUTOMATIQUE,83140,+250000km,1.0317998911657071
PANTHER,RIO,,22500,08/11/2019,ESSENCE,500000,1980,AUTOMATIQUE,83140,+250000km,1.0317998911657071
PEUGEOT,403,COLLECTION,8500,08/11/2019,ESSENCE,81500,1963,MANUELLE,83140,<150000km,1.0317998911657071
FORD,HUMPBACK,,6900,20/12/2019,ESSENCE,1000,1960,MANUELLE,83140,<5000km,1.0317998911657071
FORD,TAUNUS,,4300,08/03/2020,ESSENCE,80000,1973,MANUELLE,83140,<150000km,1.0317998911657071
CHRYSLER,NEWPORT,,27500,24/03/2020,ESSENCE,28000,1961,AUTOMATIQUE,83140,<50000km,1.0317998911657071
CITROEN,B11,,27500,20/03/2020,ESSENCE,5000,1948,MANUELLE,10069,<50000km,1.0383023697920182
MG,MGA,1.6,28500,29/06/2019,ESSENCE,10,1961,MANUELLE,83110,<5000km,1.0317998911657071
VOLKSWAGEN,KARMANN GHIA,SPORTLINE,26490,23/01/2020,ESSENCE,26481,1967,MANUELLE,83110,<50000km,1.0317998911657071
CHEVROLET,3100,PREMIER,38000,01/02/2020,ESSENCE,95000,1960,AUTOMATIQUE,83110,<150000km,1.0317998911657071
RENAULT,DAUPHINE,AUTHENTIQUE,40000,18/11/2019,ESSENCE,51000,1963,MANUELLE,13790,<150000km,1.0898358306272797
RENAULT,R10,,6000,11/03/2020,ESSENCE,118000,1968,MANUELLE,4150,<150000km,1.0317998911657071
ALPINE,A310,,24500,24/10/2019,ESSENCE,72500,1977,-,13390,<150000km,1.1110249148359417
FIAT,850 SPIDER,0.85,20000,02/01/2020,ESSENCE,50021,1968,MANUELLE,16011,<150000km,0.8642904891719105
MORGAN,4 SEATER,,30000,19/01/2020,ESSENCE,32000,1976,-,16011,<50000km,0.9849010340500327
PEUGEOT,203,,11000,12/10/2019,ESSENCE,62000,1960,MANUELLE,83150,<150000km,-1.0
FORD,CUSTOM,2.2TREND,9900,14/02/2020,DIESEL,145000,2013,MANUELLE,83270,<150000km,1.5998598388044862
FORD,CUSTOM,2.2,10400,21/02/2020,DIESEL,138000,2013,MANUELLE,83270,<150000km,1.0383023697920182
FORD,CUSTOM,LIMITED,12500,22/02/2020,DIESEL,126000,2017,MANUELLE,83270,<150000km,1.0898358306272797
FORD,CUSTOM,2.2,11900,04/03/2020,DIESEL,115000,2015,MANUELLE,83270,<150000km,0.9849010340500327
FIAT,1100,1.1,7500,11/11/2019,-,5000,1961,-,10063,<50000km,1.0317998911657071
PORSCHE,356,B,98000,27/01/2020,ESSENCE,30000,1960,MANUELLE,13420,<50000km,0.8914153082154809
CITROEN,DYANE,,5500,17/01/2020,ESSENCE,100000,1978,MANUELLE,13360,<150000km,1.0317998911657071
FIAT,127,,2900,02/09/2019,-,43000,1978,-,13530,<50000km,1.0317998911657071
FORD,TAUNUS,XL,4900,02/09/2019,-,69200,1969,-,13530,<150000km,1.0317998911657071
RENAULT,R17,TL,5000,02/09/2019,-,60000,1971,-,13530,<150000km,1.0027013346125184
ALPINE,A110,1.8,59999,08/02/2020,ESSENCE,5000,2019,AUTOMATIQUE,13530,<50000km,1.1813403598102055
AUSTIN HEALEY,3000,2.9,52000,09/02/2020,ESSENCE,5135,1963,MANUELLE,13530,<50000km,1.0898358306272797
FORD,CUSTOM,LIMITED,24200,13/02/2020,DIESEL,10,2020,MANUELLE,13530,<5000km,1.0027013346125184
BMW,3.0,,139900,12/02/2020,ESSENCE,72000,1973,MANUELLE,13850,<150000km,1.1558842033441734
PEUGEOT,404,,13700,14/03/2020,-,123000,1971,-,13850,<150000km,-1.0
SIMCA,1301,,5000,26/02/2020,ESSENCE,12700,1974,MANUELLE,13830,<50000km,1.1558842033441734
JAGUAR,XK150,3.4,85000,09/11/2018,ESSENCE,100000,1961,MANUELLE,13770,<150000km,1.1558842033441734
FACEL VEGA,FACELLIA,,65000,09/11/2018,-,100000,1962,MANUELLE,13770,<150000km,1.1558842033441734
MASERATI,MERAK,V6 3.0,75000,01/12/2018,ESSENCE,9000,1975,MANUELLE,13770,<50000km,0.9949307297962883
MG,MGA,1.6,35950,06/02/2020,-,-,1961,-,13770,NC,1.0317998911657071
MG,MGA,1.6,37990,09/02/2020,ESSENCE,13000,1961,MANUELLE,13770,<50000km,1.0317998911657071
MORGAN,PLUS-4,,46000,10/02/2020,-,75000,1966,-,13770,<150000km,0.9359892770882359
MERCEDES,SL,190 SL,148000,30/05/2019,ESSENCE,68867,1955,-,13100,<150000km,1.5998598388044862
PORSCHE,911 CLASSIC,2.4,89000,10/10/2019,ESSENCE,75000,1973,-,13100,<150000km,-1.0
FIAT,128,,4900,17/10/2019,-,38000,1976,-,13100,<50000km,1.5998598388044862
MG,MGTD,,31000,05/11/2019,-,1000,1952,-,13100,<5000km,0.8642904891719105
CITROEN,TRACTION,15 6,30000,05/11/2019,-,75000,1951,-,13100,<150000km,0.8406826903901095
PORSCHE,911 CLASSIC,2.4,89000,28/11/2019,ESSENCE,45000,1973,MANUELLE,13100,<50000km,1.0898358306272797
CORVETTE,C3,,15700,29/11/2019,ESSENCE,127616,1974,MANUELLE,13100,<150000km,-1.0
VOLVO,P1800,1800S1.8,7300,13/12/2019,ESSENCE,1000,1964,-,13100,<5000km,1.0027013346125184
ALPINE,A110 S,,73000,27/12/2019,ESSENCE,6700,2019,AUTOMATIQUE,13100,<50000km,1.044769782541518
PEUGEOT,404,,12800,28/12/2019,-,2717,1974,-,13100,<5000km,1.0027013346125184
PORSCHE,911 CLASSIC,2.4,96500,24/01/2020,ESSENCE,45000,1973,-,13100,<50000km,1.0317998911657071
ALPINE,A110,1.8LEGENDE,61990,15/02/2020,ESSENCE,5800,2019,AUTOMATIQUE,13100,<50000km,1.0317998911657071
CITROEN,DYANE,,2700,23/02/2020,ESSENCE,80000,1976,MANUELLE,13100,<150000km,1.0317998911657071
PORSCHE,911 CLASSIC TARGA,T,129000,28/02/2020,ESSENCE,10,1970,-,13100,<5000km,1.0317998911657071
TOYOTA,DYNA,,13000,18/03/2020,DIESEL,168800,2010,MANUELLE,13100,<250000km,1.0317998911657071
PEUGEOT,203,,38000,04/04/2020,ESSENCE,15000,1953,MANUELLE,13100,<50000km,0.9359892770882359
FORD,GALAXIE,,45800,10/04/2020,ESSENCE,90236,1960,AUTOMATIQUE,13100,<150000km,1.1813403598102055
PORSCHE,911 CLASSIC,,64000,24/01/2020,ESSENCE,165762,1971,MANUELLE,13600,<250000km,1.5998598388044862
CHEVROLET,C10,PREMIUM,10600,10/04/2020,ESSENCE,141622,1987,AUTOMATIQUE,13600,<150000km,0.9849010340500327
RENAULT,DAUPHINE,,7200,04/04/2020,ESSENCE,83700,1963,MANUELLE,5500,<150000km,1.0317998911657071
CADILLAC,DEVILLE COUPE,V8 7.7,22900,10/04/2020,ESSENCE,80000,1968,AUTOMATIQUE,5500,<150000km,1.0317998911657071
RENAULT,R5 ALPINE,,20000,13/04/2020,ESSENCE,134000,1983,MANUELLE,5500,<150000km,1.0317998911657071
RENAULT,DAUPHINE,,7000,13/04/2020,ESSENCE,83700,1963,MANUELLE,5500,<150000km,1.0317998911657071
FORD,CUSTOM,2.2MP3,11500,25/07/2019,DIESEL,146000,2017,-,13400,<150000km,1.0317998911657071
CITROEN,DYANE,COLLECTION,6000,15/01/2020,ESSENCE,95000,1977,-,13400,<150000km,1.501102391390483
ALPINE,A110,PURE,64900,24/01/2020,ESSENCE,2000,2019,AUTOMATIQUE,13400,<5000km,1.501102391390483
ALPINE,A110,1.8PURE,64900,24/01/2020,ESSENCE,2000,2019,AUTOMATIQUE,13400,<5000km,0.9849010340500327
CHEVROLET,C10,,25000,29/01/2020,ESSENCE,10,1969,AUTOMATIQUE,13400,<5000km,0.9949307297962883
FORD,CUSTOM,2.2MP3,10900,23/02/2020,DIESEL,144000,2013,MANUELLE,13400,<150000km,0.9849010340500327
FORD,TAUNUS,,6500,09/04/2020,ESSENCE,7000,1969,MANUELLE,13400,<50000km,1.0383023697920182
PORSCHE,550,,73000,02/08/2018,ESSENCE,15000,1965,MANUELLE,15011,<50000km,1.0317998911657071
VOLKSWAGEN,BUGGY,STYLE,19500,04/08/2018,ESSENCE,5000,1966,MANUELLE,15011,<50000km,0.9849010340500327
PONTIAC,CATALINA,,45000,25/08/2018,ESSENCE,60000,1966,MANUELLE,15011,<150000km,-1.0
JAGUAR,MARK 2,3.4,23000,30/05/2019,ESSENCE,109000,1963,MANUELLE,15011,<150000km,1.2303997484833311
VOLKSWAGEN,BUGGY,DUNE,19000,19/09/2019,ESSENCE,5000,1966,-,15011,<50000km,0.9849010340500327
CADILLAC,ELDORADO CABRIOLET,,19400,18/10/2019,ESSENCE,100000,1976,AUTOMATIQUE,15011,<150000km,1.044769782541518
PORSCHE,356,,73000,07/03/2020,ESSENCE,15000,1965,-,15011,<50000km,1.2303997484833311
CITROEN,TRACTION,,27000,12/09/2019,ESSENCE,50000,1955,MANUELLE,14010,<150000km,0.9359892770882359
BUICK,SPECIAL,,50000,17/10/2018,ESSENCE,67000,1948,AUTOMATIQUE,10042,<150000km,0.9849010340500327
